date,members,
01/03/2022,31,
02/03/2022,31,
03/03/2022,35,
04/03/2022,27,
05/03/2022,31,
06/03/2022,36,
07/03/2022,34,
08/03/2022,34,
09/03/2022,29,
10/03/2022,32,
11/03/2022,45,
12/03/2022,38,
13/03/2022,38,
14/03/2022,41,
15/03/2022,41,
16/03/2022,36,
17/03/2022,50,
18/03/2022,41,
19/03/2022,45,
20/03/2022,39,
21/03/2022,41,
22/03/2022,45,
23/03/2022,45,
24/03/2022,48,
25/03/2022,45,
26/03/2022,47,
27/03/2022,46,
28/03/2022,44,
29/03/2022,43,
30/03/2022,42,
31/03/2022,51,
01/04/2022,52,
02/04/2022,45,
03/04/2022,45,
04/04/2022,43,
05/04/2022,44,
06/04/2022,44,
07/04/2022,50,
08/04/2022,43,
09/04/2022,52,
10/04/2022,50,
11/04/2022,52,
12/04/2022,51,
13/04/2022,48,
14/04/2022,48,
15/04/2022,51,
16/04/2022,56,
17/04/2022,48,
18/04/2022,53,
19/04/2022,52,
